id,dateAdded,dateUpdated,address,categories,primaryCategories,city,country,keys,latitude,longitude,name,postalCode,province,sourceURLs,websites
AVwdfiZS_7pvs4fz6bKL,2015-10-23T22:26:59Z,2019-03-26T22:56:25Z,721 E Cumberland St,"Carry-out food,Mexican Restaurants,Mexican,Breakfast,Tex-mex restaurants,Vegetarian,Southwestern restaurants,American restaurants,Fast Food Restaurants,Fast Food,Restaurants,Mexican Restaurant,Restaurant,Fast Food Restaurant,Mexican Restaurant and Fast Food Restaurant",Accommodation & Food Services,Dunn,US,us/nc/dunn/721ecumberlandst/-864103396,35.3033,-78.6031,Taco Bell,28334,NC,"http://www.citysearch.com/profile/6307049/dunn_nc/taco_bell.html,https://foursquare.com/v/taco-bell/4bb14913f964a5209f893ce3,http://www.yellowbook.com/profile/taco-bell_1538875558.html",https://locations.tacobell.com/nc/dunn/721-e-cumberland-st.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=018907&utm_content=website
AWittgh6IxWefVJwE-hD,2019-02-02T10:01:22Z,2019-03-26T22:55:45Z,1719 Eastwood Road,Fast Food,Accommodation & Food Services,Wilmington,US,us/nc/wilmington/1719eastwoodroad/-791445730,34.2274,-77.8276,Wendy's,28403,NC,http://www.citysearch.com/profile/6324328/wilmington_nc/wendy_s.html,https://locations.wendys.com/united-states/nc/wilmington/1719-eastwood-road
AVzBCZDNFcQ3k02bBc39,2017-06-19T15:47:28Z,2019-03-26T22:52:12Z,1805 E William Cannon Dr,"Burger Joint,Fast Food Restaurant,American Restaurant",Accommodation & Food Services,Austin,US,us/tx/austin/1805ewilliamcannondr/1780593795,30.188426,-97.766864,SONIC Drive In,78744,TX,"https://foursquare.com/v/sonic-drive-in/4b7d7c79f964a5209dc12fe3/menu,https://foursquare.com/v/sonic-drive-in/4b7d7c79f964a5209dc12fe3","https://locations.sonicdrivein.com/tx/austin/1805-e--william-cannon.html,http://sonicdrivein.com/"
AVwdkiHs_7pvs4fz7Mb1,2015-12-02T19:44:56Z,2019-03-26T22:52:11Z,2294 N Highland Ave,"Ice Cream Parlors,Burger Joint,Ice Cream and Frozen Desserts,Restaurant,Ice Cream Shop and Burger Joint,Fast Food Restaurant,Fast Food Restaurants,Ice Cream Store,Dessert Restaurants,Hamburgers and Hot Dogs,Restaurants,Ice Cream Shop",Accommodation & Food Services,Jackson,US,us/tn/jackson/2294nhighlandave/-1721138121,35.666269,-88.828734,Dairy Queen,38305,TN,"https://www.allmenus.com/tn/jackson/192636-dairy-queen/menu/,http://www.tripadvisor.com/Restaurant_Review-g55123-d4633190-Reviews-Dairy_Queen-Jackson_Tennessee.html,https://foursquare.com/v/dairy-queen/4b79af52f964a520f70a2fe3/menu,https://www.yellowpages.com/jackson-tn/mip/dairy-queen-7400332,http://tripadvisor.com/Restaurant_Review-g55123-d4633190-Reviews-Dairy_Queen-Jackson_Tennessee.html,https://www.tripadvisor.com/Restaurant_Review-g55123-d4633190-Reviews-Dairy_Queen-Jackson_Tennessee.html,http://www.citysearch.com/profile/9481256/jackson_tn/dairy_queen.html,https://www.dairyqueen.com/us-en/locator/Detail/3182,https://foursquare.com/v/dairy-queen/4b79af52f964a520f70a2fe3","http://www.dairyqueen.com/,https://www.dairyqueen.com/us-en/Locator/Detail/?localechange=1&store-id=3182,http://dairyqueen.com/"
AVzBGauqFcQ3k02bBeey,2017-06-19T16:05:04Z,2019-03-26T22:52:04Z,4170 Cordata Pkwy,"Burger Joint,Carry-out food,Restaurant,Fast Food Restaurant,Ice cream parlors,American restaurants,Ice Cream Store,Restaurants,Ice Cream Shop",Accommodation & Food Services,Bellingham,US,us/wa/bellingham/4170cordatapkwy/-1721138121,48.792323,-122.490687,Dairy Queen,98226,WA,"https://www.allmenus.com/wa/bellingham/192740-dairy-queen/menu/,https://foursquare.com/v/dairy-queen/4b7730e3f964a52060862ee3,http://www.yellowbook.com/profile/dairy-queen_1633934131.html,https://foursquare.com/v/dairy-queen/4b7730e3f964a52060862ee3/menu,http://tripadvisor.com/Restaurant_Review-g58350-d825436-Reviews-Dairy_Queen-Bellingham_Washington.html,https://www.dairyqueen.com/us-en/locator/Detail/2867","http://www.dairyqueen.com/,https://www.dairyqueen.com/us-en/Locator/Detail/?localechange=1&store-id=2867"
AV4yu4QE3-Khe5l_SGuL,2017-08-30T10:35:49Z,2019-03-26T22:51:54Z,2200 White Ln Ste B,"Fast Food Restaurant,wich Place,Sandwich Place",Accommodation & Food Services,Bakersfield,US,us/ca/bakersfield/2200whitelnsteb/-891525969,35.318059,-119.027472,SUBWAY,93304,CA,"https://foursquare.com/v/subway/4b75b5e1f964a520d71e2ee3,https://foursquare.com/v/subway/4b75b5e1f964a520d71e2ee3/menu",http://subway.com/
AVwddFWv_7pvs4fz6Ehv,2016-03-31T02:42:40Z,2019-03-26T22:51:40Z,4512 Virginia Beach Blvd,"Caterers,Delicatessens,Deli / Bodega Bayside,wich Place,Fast Food Restaurants,Take Out Restaurants,Family Style Restaurants,Deli / Bodega,Sandwich Place,Restaurants,Sandwich Shops,Deli Bodega",Accommodation & Food Services,Virginia Beach,US,us/va/virginiabeach/4512virginiabeachblvd/-1333108586,36.843903,-76.131747,Jasons Deli,23462,VA,"https://www.yellowpages.com/virginia-beach-va/mip/jasons-deli-506256175,https://foursquare.com/v/jasons-deli/4b744dc6f964a520d8d32de3/menu,https://foursquare.com/v/jasons-deli/4b744dc6f964a520d8d32de3,https://foursquare.com/v/4b744dc6f964a520d8d32de3",http://www.jasonsdeli.com/
AVwc6LntkufWRAb50UBf,2016-04-22T08:54:51Z,2019-03-26T22:51:06Z,501 Carroll St,"Fast Food Restaurant,wich Place,Sandwich Place,Restaurants",Accommodation & Food Services,Fort Worth,US,us/tx/fortworth/501carrollst/-891525969,32.753942,-97.354132,Subway,76107,TX,"https://foursquare.com/v/subway/4b65cda2f964a520b0002be3/photos,https://foursquare.com/v/subway/4b65cda2f964a520b0002be3,http://www.tripadvisor.com/Restaurant_Review-g55857-d4399544-Reviews-Subway-Fort_Worth_Texas.html,https://foursquare.com/v/subway/4b65cda2f964a520b0002be3/menu",http://www.subway.com/
AVweftk_ByjofQCxywOD,2016-05-24T05:54:27Z,2019-03-26T22:50:26Z,790 NW Frontage Rd,"Carry-out food,Delicatessens,Service stations,Fried Chicken Joint,American restaurants,Truck stops,Restaurants,Cocktail lounges,Restaurant,Bar and grill restaurants,Fast Food Restaurant,Sandwiches,Chicken restaurants,Mediterranean restaurants",Accommodation & Food Services,Troutdale,US,us/or/troutdale/790nwfrontagerd/-624847056,45.544033,-122.395699,Popeyes Louisiana Kitchen,97060,OR,"https://www.yellowbook.com/profile/popeyes-louisiana-kitchen_1533101844.html,https://foursquare.com/v/popeyes-chicken--biscuits/4b5a6364f964a520dcc128e3,http://tripadvisor.com/Restaurant_Review-g52104-d820073-Reviews-Popeyes_Louisiana_Kitchen-Troutdale_Oregon.html,https://www.tripadvisor.com/Restaurant_Review-g52104-d820073-Reviews-Popeyes_Louisiana_Kitchen-Troutdale_Oregon.html",http://www.popeyes.com/
AVwc3yFnIN2L1WUfpz-W,2016-04-03T02:30:54Z,2019-03-26T22:49:48Z,3050 Hotel Dr,"Breakfast,Cafe,Food Delivery,Bakery,Take Out Restaurants,Health Food Restaurants,Fast Food,Bagel Shops,Restaurants,American Restaurants,Coffee Shops,Restaurant,Traditional American,Coffeehouses,Bakeries,Catering,Sandwich Place,Café,Sandwich Shops",Accommodation & Food Services,Turlock,US,us/ca/turlock/3050hoteldr/-1631107135,37.522292,-120.882681,Panera Bread,95380,CA,"https://www.allmenus.com/ca/turlock/103263-panera-bread/menu/,http://www.citysearch.com/profile/602665394/turlock_ca/panera_bread.html,https://www.yellowpages.com/turlock-ca/mip/panera-bread-12688110,https://foursquare.com/v/panera-bread/4b5fcc01f964a5200fcd29e3","http://locations.panerabread.com/ca/turlock/3050-hotel-dr.html?utm_medium=display-adandutm_source=paid-digitalandutm_campaign=yextandutm_content=local-search,https://locations.panerabread.com/ca/turlock/3050-hotel-dr.html,https://locations.panerabread.com/ca/turlock/3050-hotel-dr.html?utm_medium=display-ad&utm_source=paid-digital&utm_campaign=yext&utm_content=local-search"
AVwcyIcnkufWRAb5y-rE,2016-06-04T21:05:56Z,2019-03-26T22:49:12Z,7710 Olson Dr,"Mexican Restaurant,Mexican Restaurants,TexMex Restaurant,Fast Food Restaurant,Fast Food Restaurants,Mexican Restaurant and Fast Food Restaurant,Restaurants",Accommodation & Food Services,Papillion,US,us/ne/papillion/7710olsondr/-864103396,41.137917,-96.028223,Taco Bell,68046,NE,"https://foursquare.com/v/taco-bell/4b4a5f86f964a520bb8526e3/menu,https://www.yellowpages.com/papillion-ne/mip/taco-bell-9899553,https://foursquare.com/v/taco-bell/4b4a5f86f964a520bb8526e3","http://www.tacobell.com/,https://locations.tacobell.com/ne/papillion/7710-olson-drive.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=024405andutm_content=website"
AVwd-VRmIN2L1WUf03ti,2015-10-23T22:47:39Z,2019-03-26T22:48:53Z,2350 E Dublin Granville Rd,"Natural food restaurants,Carry-out food,Caterers,Seafood restaurants,Chinese Restaurants,Take Out Restaurants,Fast Food Restaurants,Family Style Restaurants,Restaurants,Asian Restaurants,Juice bars,Chinese Restaurant,Vegetarian restaurants,Thai restaurants,Health food restaurants",Accommodation & Food Services,Columbus,US,us/oh/columbus/2350edublingranvillerd/1891452658,40.086678,-82.955685,Hunan House,43229,OH,"https://foursquare.com/v/hunan-house/4b413660f964a5205bc325e3/menu,https://foursquare.com/v/hunan-house/4b413660f964a5205bc325e3,http://www.yellowpages.com/columbus-oh/mip/hunan-house-465933328,http://www.yellowbook.com/profile/hunan-house_1534865324.html",http://hunancolumbus.com/
AWm8PUQp3-Khe5l_9Coo,2019-03-26T22:48:48Z,2019-03-26T22:48:48Z,8227 Agora Pkwy,"Burger Joint,Fast Food Restaurant",Accommodation & Food Services,Schertz,US,us/tx/schertz/8227agorapkwy/-99953871,29.569917,-98.329426,Red Robin Gourmet Burgers and Brews,78154,TX,https://foursquare.com/v/red-robin-gourmet-burgers/4b3d4321f964a520309125e3,https://www.redrobin.com/
AVzBB7ST3D1zeR_xBFHO,2017-06-19T15:45:26Z,2019-03-26T22:48:30Z,7080 Engle Rd Ste A,"Restaurant,Carry-out food,Delicatessens,Fast Food Restaurant,wich Place,Family Style Restaurants,Sandwich Place,Restaurants,Sandwich Shops",Accommodation & Food Services,Cleveland,US,us/oh/cleveland/7080englerdstea/1544214445,41.374556,-81.825097,Penn Station East Coast Subs,44130,OH,"http://www.yellowbook.com/profile/penn-station-east-coast-subs_1901926667.html,https://www.yellowpages.com/cleveland-oh/mip/penn-station-east-coast-subs-8478133,https://foursquare.com/v/penn-station-east-coast-subs/4b214fa0f964a520f93924e3,http://tripadvisor.com/Restaurant_Review-g50207-d475852-Reviews-Penn_Station_East_Coast_Subs-Cleveland_Ohio.html,https://foursquare.com/v/penn-station-east-coast-subs/4b214fa0f964a520f93924e3/menu",http://www.penn-station.com/
AVwcjcSr_7pvs4fzwYSu,2015-09-13T02:02:29Z,2019-03-26T22:47:17Z,12160 SW Scholls Ferry Rd,"Carry-out food,Delicatessens,Sandwich Place Tigard Neighborhood Area 2,Food and Beverage,American restaurants,Restaurants,Delis And Delicatessens,Restaurant,Salads and Soups,Fast Food Restaurant,wich Place,Sandwiches,Sandwich Place,Sandwich Shops",Accommodation & Food Services,Portland,US,us/or/portland/12160swschollsferryrd/-891525969,45.443258,-122.801271,Subway,97223,OR,"http://www.dexknows.com/business_profiles/subway_tigard-l902390351,http://www.yellowbook.com/profile/subway_1631452878.html,https://foursquare.com/v/subway/4afd1b8cf964a520f02622e3,https://foursquare.com/v/subway/4afd1b8cf964a520f02622e3/menu,http://www.citysearch.com/profile/8479656/tigard_or/subway.html","http://www.subway.com/,http://subway.com/"
AWBcd_nxIxWefVJwu6Lu,2017-12-15T23:14:33Z,2019-03-26T22:47:13Z,180 Gravois Bluffs Cir Ste D,"Mexican Restaurant,Tex-mex restaurants,Southwestern restaurants,Fast Food Restaurant,Mexican restaurants,Burrito Place,Restaurants",Accommodation & Food Services,Fenton,US,us/mo/fenton/180gravoisbluffscirsted/-722952174,38.502729,-90.444984,Qdoba Mexican Grill,63026,MO,"https://foursquare.com/v/qdoba-mexican-grill/4af0a581f964a520eadd21e3/menu,https://foursquare.com/v/qdoba-mexican-grill/4af0a581f964a520eadd21e3,http://www.yellowbook.com/profile/qdoba-mexican-grill_1503612267.html",https://locations.qdoba.com/us/mo/fenton/180-gravois-bluffs-cir.html
AVweSpPTIN2L1WUf3prH,2016-05-20T13:01:31Z,2019-03-26T22:46:38Z,2831 N Federal Hwy,"Carry-out food,Restaurant delivery service,Caterers,Hot dog restaurants,Hamburger restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Chicken Restaurants,Restaurants,Hamburgers & Hot Dogs,American Restaurants,Burger Joint",Accommodation & Food Services,Boca Raton,US,us/fl/bocaraton/2831nfederalhwy/829007645,26.376711,-80.076768,Big Joes Burgers Wings,33431,FL,"http://www.yellowbook.com/profile/big-joes-burgers-and-wings_1625081020.html,https://foursquare.com/v/big-joes-burgers--wings/4ae72d40f964a52023a921e3",http://www.bigjoesburgers.com/
